,date,continent,location,male_smokers
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,0.0
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,2189.4
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,1468.5
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,3097.2
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,5242.099999999999
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,3284.1
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,1530.8
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,2020.3
216,2020Q1,Oceania,Papua New Guinea,4343.2
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,3390.9
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,3951.6
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,3070.5
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,2520.7
226,2020Q1,South America,Bolivia,0.0
227,2020Q1,South America,Brazil,1593.1
228,2020Q1,South America,Chile,3693.5
229,2020Q1,South America,Colombia,1201.5
230,2020Q1,South America,Ecuador,1094.7
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,0.0
234,2020Q1,South America,Paraguay,1922.4
235,2020Q1,South America,Peru,0.0
236,2020Q1,South America,Suriname,3818.1
237,2020Q1,South America,Uruguay,1771.1
238,2020Q1,South America,Venezuela,0.0
239,2020Q2,Africa,Algeria,2766.4
240,2020Q2,Africa,Angola,0.0
241,2020Q2,Africa,Benin,1119.3
242,2020Q2,Africa,Botswana,3130.4
243,2020Q2,Africa,Burkina Faso,2174.9
244,2020Q2,Africa,Burundi,0.0
245,2020Q2,Africa,Cameroon,0.0
246,2020Q2,Africa,Cape Verde,1501.5
247,2020Q2,Africa,Central African Republic,0.0
