,date,continent,location,life_expectancy
273,2020Q2,Africa,Mayotte,7230.86
274,2020Q2,Africa,Morocco,6977.880000000001
275,2020Q2,Africa,Mozambique,5537.35
276,2020Q2,Africa,Namibia,5797.61
277,2020Q2,Africa,Niger,5680.22
278,2020Q2,Africa,Nigeria,4976.79
279,2020Q2,Africa,Reunion,7323.68
280,2020Q2,Africa,Rwanda,6280.82
281,2020Q2,Africa,Saint Helena,7330.96
282,2020Q2,Africa,Sao Tome and Principe,6405.49
283,2020Q2,Africa,Senegal,6182.54
284,2020Q2,Africa,Seychelles,6679.400000000001
285,2020Q2,Africa,Sierra Leone,4977.7
286,2020Q2,Africa,Somalia,5223.4
287,2020Q2,Africa,South Africa,5835.83
288,2020Q2,Africa,South Sudan,5264.35
289,2020Q2,Africa,Sudan,5943.21
290,2020Q2,Africa,Tanzania,5956.86
291,2020Q2,Africa,Togo,5554.64
292,2020Q2,Africa,Tunisia,6979.7
293,2020Q2,Africa,Uganda,5766.67
294,2020Q2,Africa,Zambia,5813.99
295,2020Q2,Africa,Zimbabwe,5595.59
296,2020Q2,Asia,Afghanistan,5899.53
297,2020Q2,Asia,Armenia,6833.1900000000005
298,2020Q2,Asia,Azerbaijan,6643.0
299,2020Q2,Asia,Bahrain,7033.39
300,2020Q2,Asia,Bangladesh,6605.6900000000005
301,2020Q2,Asia,Bhutan,6531.9800000000005
302,2020Q2,Asia,Brunei,6903.26
303,2020Q2,Asia,Cambodia,6353.619999999999
304,2020Q2,Asia,China,6998.8099999999995
305,2020Q2,Asia,Georgia,6713.07
306,2020Q2,Asia,Hong Kong,7722.26
307,2020Q2,Asia,India,6339.0599999999995
308,2020Q2,Asia,Indonesia,6526.5199999999995
309,2020Q2,Asia,Iran,6977.880000000001
310,2020Q2,Asia,Iraq,6424.599999999999
311,2020Q2,Asia,Israel,7550.2699999999995
312,2020Q2,Asia,Japan,7701.33
313,2020Q2,Asia,Jordan,6782.2300000000005
314,2020Q2,Asia,Kazakhstan,6697.599999999999
315,2020Q2,Asia,Kuwait,6869.589999999999
316,2020Q2,Asia,Kyrgyzstan,6501.95
317,2020Q2,Asia,Laos,6180.72
318,2020Q2,Asia,Lebanon,7182.630000000001
319,2020Q2,Asia,Malaysia,6930.5599999999995
320,2020Q2,Asia,Maldives,7181.72
321,2020Q2,Asia,Mongolia,6358.17
322,2020Q2,Asia,Myanmar,6108.83
323,2020Q2,Asia,Nepal,6440.9800000000005
324,2020Q2,Asia,North Korea,6576.57
325,2020Q2,Asia,Oman,7085.26
326,2020Q2,Asia,Pakistan,6121.57
327,2020Q2,Asia,Palestine,6738.55
328,2020Q2,Asia,Philippines,6481.93
329,2020Q2,Asia,Qatar,7300.93
330,2020Q2,Asia,Saudi Arabia,6836.83
331,2020Q2,Asia,Singapore,7609.42
332,2020Q2,Asia,South Korea,7555.7300000000005
333,2020Q2,Asia,Sri Lanka,7005.18
334,2020Q2,Asia,Syria,6615.7
335,2020Q2,Asia,Taiwan,7321.86
336,2020Q2,Asia,Tajikistan,6470.099999999999
337,2020Q2,Asia,Thailand,7020.650000000001
338,2020Q2,Asia,Timor,6324.5
339,2020Q2,Asia,Turkey,7069.79
340,2020Q2,Asia,Turkmenistan,6205.29
341,2020Q2,Asia,United Arab Emirates,7095.2699999999995
342,2020Q2,Asia,Uzbekistan,6526.5199999999995
343,2020Q2,Asia,Vietnam,6861.400000000001
344,2020Q2,Asia,Yemen,6016.92
345,2020Q2,Europe,Albania,7149.869999999999
346,2020Q2,Europe,Andorra,7619.43
347,2020Q2,Europe,Austria,7420.14
348,2020Q2,Europe,Belarus,6805.89
349,2020Q2,Europe,Belgium,7428.33
350,2020Q2,Europe,Bosnia and Herzegovina,7043.400000000001
351,2020Q2,Europe,Bulgaria,6829.55
352,2020Q2,Europe,Croatia,7142.589999999999
353,2020Q2,Europe,Cyprus,7369.18
354,2020Q2,Europe,Czechia,7223.58
355,2020Q2,Europe,Denmark,7361.900000000001
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,7165.339999999999
358,2020Q2,Europe,Faeroe Islands,7340.97
359,2020Q2,Europe,Finland,7453.8099999999995
360,2020Q2,Europe,France,7522.0599999999995
361,2020Q2,Europe,Germany,7401.03
