,date,continent,location,female_smokers
180,2020Q1,North America,Guatemala,0.0
181,2020Q1,North America,Haiti,258.09999999999997
182,2020Q1,North America,Honduras,178.0
183,2020Q1,North America,Jamaica,471.7
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,627.9
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.0
188,2020Q1,North America,Panama,213.6
189,2020Q1,North America,Puerto Rico,0.0
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,0.0
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,1699.9
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,1157.0
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,907.8
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,0.0
207,2020Q1,Oceania,Kiribati,3195.1
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,3827.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,1317.2
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,685.3000000000001
216,2020Q1,Oceania,Papua New Guinea,2091.5
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,1486.3
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,1050.2
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,249.2
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,1474.2
226,2020Q1,South America,Bolivia,0.0
227,2020Q1,South America,Brazil,898.9
228,2020Q1,South America,Chile,3043.8
229,2020Q1,South America,Colombia,418.3
230,2020Q1,South America,Ecuador,178.0
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,0.0
234,2020Q1,South America,Paraguay,445.0
235,2020Q1,South America,Peru,427.2
236,2020Q1,South America,Suriname,658.6
237,2020Q1,South America,Uruguay,1246.0
238,2020Q1,South America,Venezuela,0.0
239,2020Q2,Africa,Algeria,63.699999999999996
240,2020Q2,Africa,Angola,0.0
241,2020Q2,Africa,Benin,54.6
242,2020Q2,Africa,Botswana,518.7
243,2020Q2,Africa,Burkina Faso,145.6
244,2020Q2,Africa,Burundi,0.0
245,2020Q2,Africa,Cameroon,0.0
246,2020Q2,Africa,Cape Verde,191.1
247,2020Q2,Africa,Central African Republic,0.0
248,2020Q2,Africa,Chad,0.0
249,2020Q2,Africa,Comoros,400.40000000000003
250,2020Q2,Africa,Congo,154.7
251,2020Q2,Africa,Cote d'Ivoire,0.0
252,2020Q2,Africa,Democratic Republic of Congo,0.0
253,2020Q2,Africa,Djibouti,154.7
254,2020Q2,Africa,Egypt,18.2
255,2020Q2,Africa,Equatorial Guinea,0.0
256,2020Q2,Africa,Eritrea,18.2
257,2020Q2,Africa,Eswatini,154.7
258,2020Q2,Africa,Ethiopia,36.4
259,2020Q2,Africa,Gabon,0.0
260,2020Q2,Africa,Gambia,63.699999999999996
261,2020Q2,Africa,Ghana,27.3
262,2020Q2,Africa,Guinea,0.0
263,2020Q2,Africa,Guinea-Bissau,0.0
264,2020Q2,Africa,Kenya,109.2
265,2020Q2,Africa,Lesotho,36.4
266,2020Q2,Africa,Liberia,136.5
267,2020Q2,Africa,Libya,0.0
268,2020Q2,Africa,Madagascar,0.0
269,2020Q2,Africa,Malawi,400.40000000000003
270,2020Q2,Africa,Mali,145.6
271,2020Q2,Africa,Mauritania,0.0
272,2020Q2,Africa,Mauritius,291.2
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,72.8
275,2020Q2,Africa,Mozambique,464.09999999999997
276,2020Q2,Africa,Namibia,882.6999999999999
277,2020Q2,Africa,Niger,9.1
278,2020Q2,Africa,Nigeria,54.6
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,427.7
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,0.0
283,2020Q2,Africa,Senegal,36.4
284,2020Q2,Africa,Seychelles,646.1
285,2020Q2,Africa,Sierra Leone,800.8000000000001
286,2020Q2,Africa,Somalia,0.0
287,2020Q2,Africa,South Africa,737.1
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,0.0
290,2020Q2,Africa,Tanzania,300.3
291,2020Q2,Africa,Togo,81.9
292,2020Q2,Africa,Tunisia,100.10000000000001
293,2020Q2,Africa,Uganda,309.4
294,2020Q2,Africa,Zambia,282.1
295,2020Q2,Africa,Zimbabwe,145.6
296,2020Q2,Asia,Afghanistan,0.0
297,2020Q2,Asia,Armenia,136.5
298,2020Q2,Asia,Azerbaijan,27.3
299,2020Q2,Asia,Bahrain,527.8
300,2020Q2,Asia,Bangladesh,91.0
301,2020Q2,Asia,Bhutan,0.0
302,2020Q2,Asia,Brunei,182.0
303,2020Q2,Asia,Cambodia,182.0
304,2020Q2,Asia,China,172.9
305,2020Q2,Asia,Georgia,482.3
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,172.9
308,2020Q2,Asia,Indonesia,254.79999999999998
309,2020Q2,Asia,Iran,72.8
310,2020Q2,Asia,Iraq,0.0
311,2020Q2,Asia,Israel,1401.4
312,2020Q2,Asia,Japan,1019.1999999999999
313,2020Q2,Asia,Jordan,0.0
314,2020Q2,Asia,Kazakhstan,637.0
315,2020Q2,Asia,Kuwait,245.70000000000002
316,2020Q2,Asia,Kyrgyzstan,327.6
317,2020Q2,Asia,Laos,664.3
318,2020Q2,Asia,Lebanon,2447.9
319,2020Q2,Asia,Malaysia,91.0
320,2020Q2,Asia,Maldives,191.1
321,2020Q2,Asia,Mongolia,500.5
322,2020Q2,Asia,Myanmar,573.3
323,2020Q2,Asia,Nepal,864.5
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,45.5
326,2020Q2,Asia,Pakistan,254.79999999999998
327,2020Q2,Asia,Palestine,0.0
