,date,continent,location,hospital_beds_per_thousand
551,2020Q3,Asia,Israel,275.08000000000004
552,2020Q3,Asia,Japan,1200.6000000000001
553,2020Q3,Asia,Jordan,128.79999999999998
554,2020Q3,Asia,Kazakhstan,616.4
555,2020Q3,Asia,Kuwait,184.0
556,2020Q3,Asia,Kyrgyzstan,414.0
557,2020Q3,Asia,Laos,138.0
558,2020Q3,Asia,Lebanon,266.8
559,2020Q3,Asia,Malaysia,174.79999999999998
560,2020Q3,Asia,Maldives,0.0
561,2020Q3,Asia,Mongolia,644.0
562,2020Q3,Asia,Myanmar,82.8
563,2020Q3,Asia,Nepal,27.599999999999998
564,2020Q3,Asia,North Korea,1214.3999999999999
565,2020Q3,Asia,Oman,147.20000000000002
566,2020Q3,Asia,Pakistan,55.199999999999996
567,2020Q3,Asia,Palestine,0.0
568,2020Q3,Asia,Philippines,92.0
569,2020Q3,Asia,Qatar,110.39999999999999
570,2020Q3,Asia,Saudi Arabia,248.4
571,2020Q3,Asia,Singapore,220.79999999999998
572,2020Q3,Asia,South Korea,1128.84
573,2020Q3,Asia,Sri Lanka,331.2
574,2020Q3,Asia,Syria,138.0
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,441.59999999999997
577,2020Q3,Asia,Thailand,193.20000000000002
578,2020Q3,Asia,Timor,542.8000000000001
579,2020Q3,Asia,Turkey,258.52
580,2020Q3,Asia,Turkmenistan,680.8000000000001
581,2020Q3,Asia,United Arab Emirates,110.39999999999999
582,2020Q3,Asia,Uzbekistan,368.0
583,2020Q3,Asia,Vietnam,239.20000000000002
584,2020Q3,Asia,Yemen,64.39999999999999
585,2020Q3,Europe,Albania,265.88
586,2020Q3,Europe,Andorra,0.0
587,2020Q3,Europe,Austria,678.04
588,2020Q3,Europe,Belarus,1012.0
589,2020Q3,Europe,Belgium,518.88
590,2020Q3,Europe,Bosnia and Herzegovina,322.0
591,2020Q3,Europe,Bulgaria,685.768
592,2020Q3,Europe,Croatia,509.68
593,2020Q3,Europe,Cyprus,312.8
594,2020Q3,Europe,Czechia,609.96
595,2020Q3,Europe,Denmark,230.0
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,431.48
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,301.76
600,2020Q3,Europe,France,550.1600000000001
601,2020Q3,Europe,Germany,736.0
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,387.32
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,645.8399999999999
606,2020Q3,Europe,Iceland,267.72
607,2020Q3,Europe,Ireland,272.32
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,292.56
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,0.0
