,date,continent,location,human_development_index
312,2020Q2,Asia,Japan,83.629
313,2020Q2,Asia,Jordan,66.339
314,2020Q2,Asia,Kazakhstan,75.075
315,2020Q2,Asia,Kuwait,73.346
316,2020Q2,Asia,Kyrgyzstan,63.42699999999999
317,2020Q2,Asia,Laos,55.783
318,2020Q2,Asia,Lebanon,67.704
319,2020Q2,Asia,Malaysia,73.71000000000001
320,2020Q2,Asia,Maldives,67.34
321,2020Q2,Asia,Mongolia,67.067
322,2020Q2,Asia,Myanmar,53.053
323,2020Q2,Asia,Nepal,54.782
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,73.98299999999999
326,2020Q2,Asia,Pakistan,50.687000000000005
327,2020Q2,Asia,Palestine,64.428
328,2020Q2,Asia,Philippines,65.338
329,2020Q2,Asia,Qatar,77.16799999999999
330,2020Q2,Asia,Saudi Arabia,77.714
331,2020Q2,Asia,Singapore,85.35799999999999
332,2020Q2,Asia,South Korea,83.35600000000001
333,2020Q2,Asia,Sri Lanka,71.162
334,2020Q2,Asia,Syria,51.596999999999994
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,60.788000000000004
337,2020Q2,Asia,Thailand,70.70700000000001
338,2020Q2,Asia,Timor,55.146
339,2020Q2,Asia,Turkey,74.61999999999999
340,2020Q2,Asia,Turkmenistan,65.065
341,2020Q2,Asia,United Arab Emirates,80.99
342,2020Q2,Asia,Uzbekistan,65.52
343,2020Q2,Asia,Vietnam,64.064
344,2020Q2,Asia,Yemen,42.769999999999996
345,2020Q2,Europe,Albania,72.345
346,2020Q2,Europe,Andorra,78.988
347,2020Q2,Europe,Austria,83.902
348,2020Q2,Europe,Belarus,74.893
349,2020Q2,Europe,Belgium,84.721
350,2020Q2,Europe,Bosnia and Herzegovina,70.98
351,2020Q2,Europe,Bulgaria,74.256
352,2020Q2,Europe,Croatia,77.441
353,2020Q2,Europe,Cyprus,80.717
354,2020Q2,Europe,Czechia,81.9
355,2020Q2,Europe,Denmark,85.53999999999999
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,81.172
358,2020Q2,Europe,Faeroe Islands,0.0
