,date,continent,location,cardiovasc_death_rate
234,2020Q1,South America,Paraguay,17722.392
235,2020Q1,South America,Peru,7632.195
236,2020Q1,South America,Suriname,22989.946000000004
237,2020Q1,South America,Uruguay,14303.012
238,2020Q1,South America,Venezuela,18231.649999999998
239,2020Q2,Africa,Algeria,25331.123999999996
240,2020Q2,Africa,Angola,25120.095
241,2020Q2,Africa,Benin,21462.168
242,2020Q2,Africa,Botswana,21600.852000000003
243,2020Q2,Africa,Burkina Faso,24483.368
244,2020Q2,Africa,Burundi,26669.188
245,2020Q2,Africa,Cameroon,22264.151
246,2020Q2,Africa,Cape Verde,16581.929
247,2020Q2,Africa,Central African Republic,39651.157
248,2020Q2,Africa,Chad,25570.545000000002
249,2020Q2,Africa,Comoros,23797.956000000002
250,2020Q2,Africa,Congo,31312.554
251,2020Q2,Africa,Cote d'Ivoire,27640.34
252,2020Q2,Africa,Democratic Republic of Congo,29024.359
253,2020Q2,Africa,Djibouti,23481.367
254,2020Q2,Africa,Egypt,47814.312
255,2020Q2,Africa,Equatorial Guinea,18455.892
256,2020Q2,Africa,Eritrea,28311.010000000002
257,2020Q2,Africa,Eswatini,30342.676
258,2020Q2,Africa,Ethiopia,16619.694
259,2020Q2,Africa,Gabon,23656.997
260,2020Q2,Africa,Gambia,30160.13
261,2020Q2,Africa,Ghana,27140.295000000002
262,2020Q2,Africa,Guinea,30641.247
263,2020Q2,Africa,Guinea-Bissau,34805.134
264,2020Q2,Africa,Kenya,19895.967
265,2020Q2,Africa,Lesotho,36866.466
266,2020Q2,Africa,Liberia,24798.319000000003
267,2020Q2,Africa,Libya,31109.442000000003
268,2020Q2,Africa,Madagascar,36945.454000000005
269,2020Q2,Africa,Malawi,20688.759
270,2020Q2,Africa,Mali,24390.184
271,2020Q2,Africa,Mauritania,21143.577
272,2020Q2,Africa,Mauritius,20442.604
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,38142.286
275,2020Q2,Africa,Mozambique,30024.722
276,2020Q2,Africa,Namibia,22186.801
277,2020Q2,Africa,Niger,21688.849
278,2020Q2,Africa,Nigeria,16472.183
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,17415.125
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,24580.283
283,2020Q2,Africa,Senegal,21950.929
284,2020Q2,Africa,Seychelles,22080.968
285,2020Q2,Africa,Sierra Leone,29640.611
286,2020Q2,Africa,Somalia,33284.979
287,2020Q2,Africa,South Africa,18234.579999999998
288,2020Q2,Africa,South Sudan,25550.524999999998
289,2020Q2,Africa,Sudan,39256.308
290,2020Q2,Africa,Tanzania,19773.208000000002
291,2020Q2,Africa,Togo,25483.003
292,2020Q2,Africa,Tunisia,29028.180999999997
293,2020Q2,Africa,Uganda,19413.303
294,2020Q2,Africa,Zambia,21339.409
295,2020Q2,Africa,Zimbabwe,28013.986
296,2020Q2,Asia,Afghanistan,54329.639
297,2020Q2,Asia,Armenia,31031.91
298,2020Q2,Asia,Azerbaijan,50942.892
299,2020Q2,Asia,Bahrain,13803.698999999999
300,2020Q2,Asia,Bangladesh,27118.272999999997
301,2020Q2,Asia,Bhutan,19753.006
302,2020Q2,Asia,Brunei,18316.935
303,2020Q2,Asia,Cambodia,24651.172
304,2020Q2,Asia,China,23832.809
305,2020Q2,Asia,Georgia,45155.838
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,25687.479999999996
308,2020Q2,Asia,Indonesia,31200.623999999996
309,2020Q2,Asia,Iran,24598.028
310,2020Q2,Asia,Iraq,19893.692
311,2020Q2,Asia,Israel,8492.119999999999
312,2020Q2,Asia,Japan,7222.67
313,2020Q2,Asia,Jordan,18951.387
314,2020Q2,Asia,Kazakhstan,42478.072
315,2020Q2,Asia,Kuwait,12033.385000000002
