,date,continent,location,median_age
184,2020Q1,North America,Martinique,4067.3
185,2020Q1,North America,Mexico,2666.3
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,2429.7000000000003
188,2020Q1,North America,Panama,2643.2999999999997
189,2020Q1,North America,Puerto Rico,3399.8
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,3106.1
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,2830.2000000000003
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,3221.8
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,3408.7
200,2020Q1,North America,United States Virgin Islands,3755.8
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,3373.1
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,2545.4
205,2020Q1,Oceania,French Polynesia,2910.3
206,2020Q1,Oceania,Guam,2794.6
207,2020Q1,Oceania,Kiribati,2064.7999999999997
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),2047.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,2972.6
212,2020Q1,Oceania,New Zealand,3373.1
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,2011.4
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,1958.0
219,2020Q1,Oceania,Solomon Islands,1851.2
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,1984.7
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,2055.9
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,2902.9
226,2020Q1,South America,Bolivia,2260.6
227,2020Q1,South America,Brazil,2981.5
228,2020Q1,South America,Chile,3150.6
229,2020Q1,South America,Colombia,2865.8
230,2020Q1,South America,Ecuador,2500.9
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,2251.7000000000003
233,2020Q1,South America,Guyana,2340.7000000000003
234,2020Q1,South America,Paraguay,2358.5
235,2020Q1,South America,Peru,2589.9
236,2020Q1,South America,Suriname,2634.4
237,2020Q1,South America,Uruguay,3168.4
238,2020Q1,South America,Venezuela,2581.0
239,2020Q2,Africa,Algeria,2648.1
240,2020Q2,Africa,Angola,1528.8
241,2020Q2,Africa,Benin,1710.8
242,2020Q2,Africa,Botswana,2347.8
243,2020Q2,Africa,Burkina Faso,1601.6000000000001
244,2020Q2,Africa,Burundi,1592.5
245,2020Q2,Africa,Cameroon,1710.8
246,2020Q2,Africa,Cape Verde,2338.7
247,2020Q2,Africa,Central African Republic,1665.3
248,2020Q2,Africa,Chad,1519.7
249,2020Q2,Africa,Comoros,1856.3999999999999
250,2020Q2,Africa,Congo,1729.0
251,2020Q2,Africa,Cote d'Ivoire,1701.7
252,2020Q2,Africa,Democratic Republic of Congo,1547.0
253,2020Q2,Africa,Djibouti,2311.4
254,2020Q2,Africa,Egypt,2302.3
255,2020Q2,Africa,Equatorial Guinea,2038.3999999999999
256,2020Q2,Africa,Eritrea,1756.3
257,2020Q2,Africa,Eswatini,1956.5
258,2020Q2,Africa,Ethiopia,1801.8
259,2020Q2,Africa,Gabon,2102.1
260,2020Q2,Africa,Gambia,1592.5
261,2020Q2,Africa,Ghana,1920.1000000000001
262,2020Q2,Africa,Guinea,1729.0
263,2020Q2,Africa,Guinea-Bissau,1765.3999999999999
264,2020Q2,Africa,Kenya,1820.0
265,2020Q2,Africa,Lesotho,2020.2
266,2020Q2,Africa,Liberia,1747.2
267,2020Q2,Africa,Libya,2639.0
268,2020Q2,Africa,Madagascar,1783.6000000000001
269,2020Q2,Africa,Malawi,1647.1000000000001
270,2020Q2,Africa,Mali,1492.3999999999999
271,2020Q2,Africa,Mauritania,1847.3
272,2020Q2,Africa,Mauritius,3403.4
273,2020Q2,Africa,Mayotte,1829.1000000000001
274,2020Q2,Africa,Morocco,2693.6
275,2020Q2,Africa,Mozambique,1610.7
276,2020Q2,Africa,Namibia,2002.0
277,2020Q2,Africa,Niger,1374.1
278,2020Q2,Africa,Nigeria,1647.1000000000001
279,2020Q2,Africa,Reunion,3276.0
280,2020Q2,Africa,Rwanda,1847.3
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,1701.7
283,2020Q2,Africa,Senegal,1701.7
284,2020Q2,Africa,Seychelles,3294.2000000000003
285,2020Q2,Africa,Sierra Leone,1738.1000000000001
286,2020Q2,Africa,Somalia,1528.8
287,2020Q2,Africa,South Africa,2484.3
288,2020Q2,Africa,South Sudan,1747.2
289,2020Q2,Africa,Sudan,1792.7
290,2020Q2,Africa,Tanzania,1610.7
291,2020Q2,Africa,Togo,1765.3999999999999
292,2020Q2,Africa,Tunisia,2975.7000000000003
293,2020Q2,Africa,Uganda,1492.3999999999999
294,2020Q2,Africa,Zambia,1610.7
295,2020Q2,Africa,Zimbabwe,1783.6000000000001
296,2020Q2,Asia,Afghanistan,1692.6000000000001
297,2020Q2,Asia,Armenia,3248.7000000000003
298,2020Q2,Asia,Azerbaijan,2948.4
299,2020Q2,Asia,Bahrain,2948.4
300,2020Q2,Asia,Bangladesh,2502.5
301,2020Q2,Asia,Bhutan,2602.6
302,2020Q2,Asia,Brunei,2948.4
303,2020Q2,Asia,Cambodia,2329.6
304,2020Q2,Asia,China,3521.7000000000003
305,2020Q2,Asia,Georgia,3521.7000000000003
306,2020Q2,Asia,Hong Kong,4076.7999999999997
307,2020Q2,Asia,India,2566.2
308,2020Q2,Asia,Indonesia,2666.3
309,2020Q2,Asia,Iran,2948.4
310,2020Q2,Asia,Iraq,1820.0
311,2020Q2,Asia,Israel,2784.6
312,2020Q2,Asia,Japan,4386.2
313,2020Q2,Asia,Jordan,2111.2
314,2020Q2,Asia,Kazakhstan,2784.6
315,2020Q2,Asia,Kuwait,3066.7000000000003
316,2020Q2,Asia,Kyrgyzstan,2393.3
317,2020Q2,Asia,Laos,2220.4
318,2020Q2,Asia,Lebanon,2830.1
319,2020Q2,Asia,Malaysia,2720.9
320,2020Q2,Asia,Maldives,2784.6
321,2020Q2,Asia,Mongolia,2602.6
322,2020Q2,Asia,Myanmar,2648.1
323,2020Q2,Asia,Nepal,2275.0
324,2020Q2,Asia,North Korea,3212.2999999999997
325,2020Q2,Asia,Oman,2793.7
326,2020Q2,Asia,Pakistan,2138.5
327,2020Q2,Asia,Palestine,1856.3999999999999
328,2020Q2,Asia,Philippines,2293.2
329,2020Q2,Asia,Qatar,2902.9
330,2020Q2,Asia,Saudi Arabia,2902.9
331,2020Q2,Asia,Singapore,3858.4
332,2020Q2,Asia,South Korea,3949.4
333,2020Q2,Asia,Sri Lanka,3103.1
334,2020Q2,Asia,Syria,1974.7
335,2020Q2,Asia,Taiwan,3840.2000000000003
336,2020Q2,Asia,Tajikistan,2120.3
337,2020Q2,Asia,Thailand,3649.1
338,2020Q2,Asia,Timor,1638.0
339,2020Q2,Asia,Turkey,2875.6
340,2020Q2,Asia,Turkmenistan,2447.9
341,2020Q2,Asia,United Arab Emirates,3094.0
342,2020Q2,Asia,Uzbekistan,2566.2
343,2020Q2,Asia,Vietnam,2966.6
344,2020Q2,Asia,Yemen,1847.3
345,2020Q2,Europe,Albania,3458.0
346,2020Q2,Europe,Andorra,0.0
347,2020Q2,Europe,Austria,4040.4
348,2020Q2,Europe,Belarus,3667.2999999999997
349,2020Q2,Europe,Belgium,3803.7999999999997
350,2020Q2,Europe,Bosnia and Herzegovina,3867.5
351,2020Q2,Europe,Bulgaria,4067.7000000000003
352,2020Q2,Europe,Croatia,4004.0
353,2020Q2,Europe,Cyprus,3394.2999999999997
354,2020Q2,Europe,Czechia,3940.2999999999997
355,2020Q2,Europe,Denmark,3849.2999999999997
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,3885.7000000000003
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,3894.7999999999997
360,2020Q2,Europe,France,3822.0
361,2020Q2,Europe,Germany,4240.6
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,4122.3
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,3949.4
366,2020Q2,Europe,Iceland,3394.2999999999997
367,2020Q2,Europe,Ireland,3521.7000000000003
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,4358.9
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,3994.9
373,2020Q2,Europe,Liechtenstein,0.0
