,date,continent,location,population_density
205,2020Q1,Oceania,French Polynesia,6881.836
206,2020Q1,Oceania,Guam,27067.392
207,2020Q1,Oceania,Kiribati,12789.389
208,2020Q1,Oceania,Marshall Islands,26268.35
209,2020Q1,Oceania,Micronesia (country),13419.152999999998
210,2020Q1,Oceania,Nauru,60738.05
211,2020Q1,Oceania,New Caledonia,1365.438
212,2020Q1,Oceania,New Zealand,1620.334
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,10669.142
215,2020Q1,Oceania,Palau,4204.093
216,2020Q1,Oceania,Papua New Guinea,1621.58
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,6177.757
219,2020Q1,Oceania,Solomon Islands,1943.8490000000002
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,13352.491999999998
222,2020Q1,Oceania,Tuvalu,33202.963
223,2020Q1,Oceania,Vanuatu,2016.918
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,1472.107
226,2020Q1,South America,Bolivia,907.978
227,2020Q1,South America,Brazil,2228.56
228,2020Q1,South America,Chile,2161.098
229,2020Q1,South America,Colombia,3935.8469999999998
230,2020Q1,South America,Ecuador,5957.570999999999
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,351.728
234,2020Q1,South America,Paraguay,1525.8159999999998
235,2020Q1,South America,Peru,2236.481
236,2020Q1,South America,Suriname,321.468
237,2020Q1,South America,Uruguay,1757.8390000000002
238,2020Q1,South America,Venezuela,3226.517
239,2020Q2,Africa,Algeria,1578.668
240,2020Q2,Africa,Angola,2173.9900000000002
241,2020Q2,Africa,Benin,9019.01
242,2020Q2,Africa,Botswana,368.00399999999996
243,2020Q2,Africa,Burkina Faso,6383.741
244,2020Q2,Africa,Burundi,38498.642
245,2020Q2,Africa,Cameroon,4630.535
246,2020Q2,Africa,Cape Verde,12337.78
247,2020Q2,Africa,Central African Republic,680.589
248,2020Q2,Africa,Chad,1076.803
249,2020Q2,Africa,Comoros,39799.032
250,2020Q2,Africa,Congo,1401.855
251,2020Q2,Africa,Cote d'Ivoire,6952.309
252,2020Q2,Africa,Democratic Republic of Congo,3264.9889999999996
253,2020Q2,Africa,Djibouti,3756.9349999999995
254,2020Q2,Africa,Egypt,8917.909
255,2020Q2,Africa,Equatorial Guinea,4112.654
256,2020Q2,Africa,Eritrea,4031.664
257,2020Q2,Africa,Eswatini,7233.772000000001
258,2020Q2,Africa,Ethiopia,9551.087
259,2020Q2,Africa,Gabon,715.169
260,2020Q2,Africa,Gambia,18888.506
261,2020Q2,Africa,Ghana,11531.429
262,2020Q2,Africa,Guinea,4709.705
263,2020Q2,Africa,Guinea-Bissau,6023.381
264,2020Q2,Africa,Kenya,7946.4839999999995
265,2020Q2,Africa,Lesotho,6694.142
266,2020Q2,Africa,Liberia,4470.557
267,2020Q2,Africa,Libya,329.69300000000004
