,date,continent,location,handwashing_facilities
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,0.0
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,0.0
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,0.0
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,0.0
448,2020Q2,Oceania,Marshall Islands,7507.682
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,0.0
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,0.0
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,3265.9900000000002
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,0.0
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,2294.019
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,0.0
466,2020Q2,South America,Bolivia,2309.853
467,2020Q2,South America,Brazil,0.0
468,2020Q2,South America,Chile,0.0
469,2020Q2,South America,Colombia,5950.125999999999
470,2020Q2,South America,Ecuador,7337.785000000001
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,7021.469000000001
474,2020Q2,South America,Paraguay,7243.782
475,2020Q2,South America,Peru,0.0
476,2020Q2,South America,Suriname,6167.888999999999
477,2020Q2,South America,Uruguay,0.0
478,2020Q2,South America,Venezuela,0.0
479,2020Q3,Africa,Algeria,7704.172
480,2020Q3,Africa,Angola,2453.088
481,2020Q3,Africa,Benin,1015.22
482,2020Q3,Africa,Botswana,0.0
483,2020Q3,Africa,Burkina Faso,1092.684
484,2020Q3,Africa,Burundi,565.248
485,2020Q3,Africa,Cameroon,251.61999999999998
486,2020Q3,Africa,Cape Verde,0.0
487,2020Q3,Africa,Central African Republic,1527.476
488,2020Q3,Africa,Chad,535.256
489,2020Q3,Africa,Comoros,1432.808
490,2020Q3,Africa,Congo,4412.688
491,2020Q3,Africa,Cote d'Ivoire,1780.292
492,2020Q3,Africa,Democratic Republic of Congo,411.42400000000004
493,2020Q3,Africa,Djibouti,0.0
494,2020Q3,Africa,Egypt,8264.083999999999
495,2020Q3,Africa,Equatorial Guinea,2266.88
496,2020Q3,Africa,Eritrea,0.0
497,2020Q3,Africa,Eswatini,2216.924
498,2020Q3,Africa,Ethiopia,732.32
499,2020Q3,Africa,Gabon,0.0
500,2020Q3,Africa,Gambia,724.592
501,2020Q3,Africa,Ghana,3776.3239999999996
502,2020Q3,Africa,Guinea,1605.3999999999999
503,2020Q3,Africa,Guinea-Bissau,589.0759999999999
504,2020Q3,Africa,Kenya,2267.892
505,2020Q3,Africa,Lesotho,194.764
506,2020Q3,Africa,Liberia,109.29599999999999
507,2020Q3,Africa,Libya,0.0
508,2020Q3,Africa,Madagascar,4649.68
509,2020Q3,Africa,Malawi,800.768
510,2020Q3,Africa,Mali,4805.344
511,2020Q3,Africa,Mauritania,1467.3999999999999
512,2020Q3,Africa,Mauritius,0.0
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,0.0
515,2020Q3,Africa,Mozambique,1124.884
516,2020Q3,Africa,Namibia,4103.2
517,2020Q3,Africa,Niger,825.976
518,2020Q3,Africa,Nigeria,3859.308
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,424.764
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,3803.28
523,2020Q3,Africa,Senegal,1919.0280000000002
524,2020Q3,Africa,Seychelles,0.0
525,2020Q3,Africa,Sierra Leone,1773.3
526,2020Q3,Africa,Somalia,904.452
527,2020Q3,Africa,South Africa,4047.356
528,2020Q3,Africa,South Sudan,0.0
529,2020Q3,Africa,Sudan,2156.204
530,2020Q3,Africa,Tanzania,4411.676
531,2020Q3,Africa,Togo,963.6999999999999
532,2020Q3,Africa,Tunisia,7239.204
533,2020Q3,Africa,Uganda,1952.4240000000002
534,2020Q3,Africa,Zambia,1282.296
535,2020Q3,Africa,Zimbabwe,3384.772
536,2020Q3,Asia,Afghanistan,3472.632
537,2020Q3,Asia,Armenia,8651.956
538,2020Q3,Asia,Azerbaijan,7658.172
539,2020Q3,Asia,Bahrain,0.0
540,2020Q3,Asia,Bangladesh,3202.336
541,2020Q3,Asia,Bhutan,7342.244000000001
542,2020Q3,Asia,Brunei,0.0
543,2020Q3,Asia,Cambodia,6093.068
544,2020Q3,Asia,China,0.0
545,2020Q3,Asia,Georgia,0.0
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,5478.599999999999
548,2020Q3,Asia,Indonesia,5906.767999999999
549,2020Q3,Asia,Iran,0.0
550,2020Q3,Asia,Iraq,8700.992
551,2020Q3,Asia,Israel,0.0
552,2020Q3,Asia,Japan,0.0
553,2020Q3,Asia,Jordan,0.0
554,2020Q3,Asia,Kazakhstan,9107.908
555,2020Q3,Asia,Kuwait,0.0
556,2020Q3,Asia,Kyrgyzstan,8208.24
557,2020Q3,Asia,Laos,4585.188
558,2020Q3,Asia,Lebanon,0.0
559,2020Q3,Asia,Malaysia,0.0
560,2020Q3,Asia,Maldives,8813.876
561,2020Q3,Asia,Mongolia,6548.56
562,2020Q3,Asia,Myanmar,7294.404
563,2020Q3,Asia,Nepal,4395.9439999999995
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,8960.800000000001
566,2020Q3,Asia,Pakistan,5483.844
567,2020Q3,Asia,Palestine,0.0
568,2020Q3,Asia,Philippines,7218.596
569,2020Q3,Asia,Qatar,0.0
570,2020Q3,Asia,Saudi Arabia,0.0
571,2020Q3,Asia,Singapore,0.0
572,2020Q3,Asia,South Korea,0.0
573,2020Q3,Asia,Sri Lanka,0.0
574,2020Q3,Asia,Syria,6495.016
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,6688.767999999999
577,2020Q3,Asia,Thailand,8341.64
578,2020Q3,Asia,Timor,2592.376
579,2020Q3,Asia,Turkey,0.0
580,2020Q3,Asia,Turkmenistan,9200.0
581,2020Q3,Asia,United Arab Emirates,0.0
582,2020Q3,Asia,Uzbekistan,0.0
583,2020Q3,Asia,Vietnam,7897.923999999999
584,2020Q3,Asia,Yemen,4557.8640000000005
585,2020Q3,Europe,Albania,0.0
586,2020Q3,Europe,Andorra,0.0
587,2020Q3,Europe,Austria,0.0
588,2020Q3,Europe,Belarus,0.0
589,2020Q3,Europe,Belgium,0.0
590,2020Q3,Europe,Bosnia and Herzegovina,8939.088
591,2020Q3,Europe,Bulgaria,0.0
592,2020Q3,Europe,Croatia,0.0
593,2020Q3,Europe,Cyprus,0.0
594,2020Q3,Europe,Czechia,0.0
595,2020Q3,Europe,Denmark,0.0
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,0.0
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,0.0
600,2020Q3,Europe,France,0.0
601,2020Q3,Europe,Germany,0.0
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,0.0
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,0.0
606,2020Q3,Europe,Iceland,0.0
607,2020Q3,Europe,Ireland,0.0
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,0.0
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,0.0
612,2020Q3,Europe,Latvia,0.0
