,date,continent,location,gdp_per_capita
222,2020Q1,Oceania,Tuvalu,318184.256
223,2020Q1,Oceania,Vanuatu,260049.901
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,1722985.537
226,2020Q1,South America,Bolivia,612838.781
227,2020Q1,South America,Brazil,1255207.228
228,2020Q1,South America,Chile,2026266.293
229,2020Q1,South America,Colombia,1179690.4610000001
230,2020Q1,South America,Ecuador,941792.304
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,661719.183
234,2020Q1,South America,Paraguay,785603.89
235,2020Q1,South America,Peru,1089066.834
236,2020Q1,South America,Suriname,1225273.591
237,2020Q1,South America,Uruguay,1829075.401
238,2020Q1,South America,Venezuela,1490306.958
239,2020Q2,Africa,Algeria,1266159.349
240,2020Q2,Africa,Angola,529574.045
241,2020Q2,Africa,Benin,187845.476
242,2020Q2,Africa,Botswana,1438471.034
243,2020Q2,Africa,Burkina Faso,154982.282
244,2020Q2,Africa,Burundi,63902.475
245,2020Q2,Africa,Cameroon,306208.266
246,2020Q2,Africa,Cape Verde,566252.414
247,2020Q2,Africa,Central African Republic,60172.840000000004
248,2020Q2,Africa,Chad,160901.923
249,2020Q2,Africa,Comoros,128663.99
250,2020Q2,Africa,Congo,444207.946
251,2020Q2,Africa,Cote d'Ivoire,327691.546
252,2020Q2,Africa,Democratic Republic of Congo,73540.103
253,2020Q2,Africa,Djibouti,246191.946
254,2020Q2,Africa,Egypt,960068.746
255,2020Q2,Africa,Equatorial Guinea,2057043.443
256,2020Q2,Africa,Eritrea,137451.769
257,2020Q2,Africa,Eswatini,704246.725
258,2020Q2,Africa,Ethiopia,157423.357
259,2020Q2,Africa,Gabon,1507179.583
260,2020Q2,Africa,Gambia,142120.797
261,2020Q2,Africa,Ghana,384714.33
262,2020Q2,Africa,Guinea,181902.266
263,2020Q2,Africa,Guinea-Bissau,140929.425
264,2020Q2,Africa,Kenya,272365.548
265,2020Q2,Africa,Lesotho,259454.92299999998
266,2020Q2,Africa,Liberia,68503.708
267,2020Q2,Africa,Libya,1627217.319
268,2020Q2,Africa,Madagascar,128896.04000000001
269,2020Q2,Africa,Malawi,99648.82199999999
270,2020Q2,Africa,Mali,183301.846
271,2020Q2,Africa,Mauritania,327384.603
272,2020Q2,Africa,Mauritius,1846639.795
