,date,continent,location,stringency_index
263,2020Q2,Africa,Guinea-Bissau,0.0
264,2020Q2,Africa,Kenya,8010.24
265,2020Q2,Africa,Lesotho,6576.04
266,2020Q2,Africa,Liberia,7703.65
267,2020Q2,Africa,Libya,8809.36
268,2020Q2,Africa,Madagascar,6820.31
269,2020Q2,Africa,Malawi,5403.12
270,2020Q2,Africa,Mali,5841.59
271,2020Q2,Africa,Mauritania,7077.9800000000005
272,2020Q2,Africa,Mauritius,6450.86
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,8110.2699999999995
275,2020Q2,Africa,Mozambique,5769.36
276,2020Q2,Africa,Namibia,6002.89
277,2020Q2,Africa,Niger,4027.83
278,2020Q2,Africa,Nigeria,7652.370000000001
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,7263.97
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,0.0
283,2020Q2,Africa,Senegal,6494.47
284,2020Q2,Africa,Seychelles,5221.42
285,2020Q2,Africa,Sierra Leone,6275.89
286,2020Q2,Africa,Somalia,5429.82
287,2020Q2,Africa,South Africa,7582.33
288,2020Q2,Africa,South Sudan,7398.33
289,2020Q2,Africa,Sudan,7611.1900000000005
290,2020Q2,Africa,Tanzania,3967.7599999999998
291,2020Q2,Africa,Togo,6221.330000000001
292,2020Q2,Africa,Tunisia,6537.01
293,2020Q2,Africa,Uganda,8127.78
294,2020Q2,Africa,Zambia,4526.35
295,2020Q2,Africa,Zimbabwe,7619.3
296,2020Q2,Asia,Afghanistan,7556.5
297,2020Q2,Asia,Armenia,0.0
298,2020Q2,Asia,Azerbaijan,7788.13
299,2020Q2,Asia,Bahrain,6854.6
300,2020Q2,Asia,Bangladesh,7616.2
301,2020Q2,Asia,Bhutan,7583.03
302,2020Q2,Asia,Brunei,4884.09
303,2020Q2,Asia,Cambodia,5573.9
304,2020Q2,Asia,China,6476.13
305,2020Q2,Asia,Georgia,7692.65
306,2020Q2,Asia,Hong Kong,5395.6
307,2020Q2,Asia,India,8167.5199999999995
308,2020Q2,Asia,Indonesia,6403.42
309,2020Q2,Asia,Iran,4452.69
310,2020Q2,Asia,Iraq,8199.19
311,2020Q2,Asia,Israel,7321.31
312,2020Q2,Asia,Japan,3507.31
313,2020Q2,Asia,Jordan,7051.04
314,2020Q2,Asia,Kazakhstan,7834.78
315,2020Q2,Asia,Kuwait,8188.54
316,2020Q2,Asia,Kyrgyzstan,7834.63
317,2020Q2,Asia,Laos,6350.98
318,2020Q2,Asia,Lebanon,7207.46
319,2020Q2,Asia,Malaysia,6390.61
320,2020Q2,Asia,Maldives,0.0
321,2020Q2,Asia,Mongolia,6400.12
322,2020Q2,Asia,Myanmar,7382.59
323,2020Q2,Asia,Nepal,8559.25
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,8029.48
326,2020Q2,Asia,Pakistan,7391.65
327,2020Q2,Asia,Palestine,8196.66
328,2020Q2,Asia,Philippines,8292.74
329,2020Q2,Asia,Qatar,7597.09
330,2020Q2,Asia,Saudi Arabia,7905.96
331,2020Q2,Asia,Singapore,6715.8
332,2020Q2,Asia,South Korea,4959.72
333,2020Q2,Asia,Sri Lanka,7054.72
334,2020Q2,Asia,Syria,7264.820000000001
335,2020Q2,Asia,Taiwan,2539.96
336,2020Q2,Asia,Tajikistan,4423.11
337,2020Q2,Asia,Thailand,6502.72
338,2020Q2,Asia,Timor,5170.4
339,2020Q2,Asia,Turkey,6555.830000000001
340,2020Q2,Asia,Turkmenistan,3114.69
341,2020Q2,Asia,United Arab Emirates,7101.75
342,2020Q2,Asia,Uzbekistan,7574.88
343,2020Q2,Asia,Vietnam,6780.03
344,2020Q2,Asia,Yemen,5753.6
345,2020Q2,Europe,Albania,7424.0
346,2020Q2,Europe,Andorra,4489.74
347,2020Q2,Europe,Austria,5745.32
348,2020Q2,Europe,Belarus,2777.64
349,2020Q2,Europe,Belgium,6529.52
350,2020Q2,Europe,Bosnia and Herzegovina,6788.78
351,2020Q2,Europe,Bulgaria,5366.72
352,2020Q2,Europe,Croatia,6717.68
353,2020Q2,Europe,Cyprus,7437.7
354,2020Q2,Europe,Czechia,4758.7699999999995
355,2020Q2,Europe,Denmark,5898.29
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,5304.61
358,2020Q2,Europe,Faeroe Islands,4168.79
359,2020Q2,Europe,Finland,5217.7
360,2020Q2,Europe,France,7107.2
361,2020Q2,Europe,Germany,6124.429999999999
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,6276.8
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,5919.44
366,2020Q2,Europe,Iceland,4295.070000000001
367,2020Q2,Europe,Ireland,7475.79
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,7031.43
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,7445.320000000001
372,2020Q2,Europe,Latvia,5175.06
373,2020Q2,Europe,Liechtenstein,5284.2
374,2020Q2,Europe,Lithuania,6200.9
375,2020Q2,Europe,Luxembourg,5322.25
376,2020Q2,Europe,Malta,6822.26
377,2020Q2,Europe,Moldova,7544.72
378,2020Q2,Europe,Monaco,6213.92
379,2020Q2,Europe,Montenegro,0.0
380,2020Q2,Europe,Netherlands,6474.9
381,2020Q2,Europe,North Macedonia,0.0
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,5478.64
384,2020Q2,Europe,Poland,6786.93
385,2020Q2,Europe,Portugal,6464.83
386,2020Q2,Europe,Romania,6695.5
387,2020Q2,Europe,Russia,6997.46
388,2020Q2,Europe,San Marino,6122.25
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,6046.35
391,2020Q2,Europe,Slovakia,5888.12
392,2020Q2,Europe,Slovenia,5632.67
393,2020Q2,Europe,Spain,6616.82
