,date,continent,location,total_cases_per_million
172,2020Q1,North America,Cuba,71.263
173,2020Q1,North America,Curacao,408.01
174,2020Q1,North America,Dominica,893.3710000000001
175,2020Q1,North America,Dominican Republic,390.24399999999997
176,2020Q1,North America,El Salvador,18.625
177,2020Q1,North America,Greenland,1168.266
178,2020Q1,North America,Grenada,326.801
179,2020Q1,North America,Guadeloupe,2286.7290000000003
180,2020Q1,North America,Guatemala,20.509
181,2020Q1,North America,Haiti,6.821999999999999
182,2020Q1,North America,Honduras,61.922
183,2020Q1,North America,Jamaica,120.606
184,2020Q1,North America,Martinique,2266.593
185,2020Q1,North America,Mexico,156.287
186,2020Q1,North America,Montserrat,7024.697
187,2020Q1,North America,Nicaragua,3.7439999999999998
188,2020Q1,North America,Panama,1350.094
189,2020Q1,North America,Puerto Rico,629.684
190,2020Q1,North America,Saint Barthelemy,6094.236999999999
191,2020Q1,North America,Saint Kitts and Nevis,209.725
192,2020Q1,North America,Saint Lucia,261.3
193,2020Q1,North America,Saint Martin (French part),4306.004
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,182.761
196,2020Q1,North America,Sint Maarten (Dutch part),678.858
197,2020Q1,North America,Trinidad and Tobago,404.29699999999997
198,2020Q1,North America,Turks and Caicos Islands,349.90999999999997
199,2020Q1,North America,United States,2929.743
200,2020Q1,North America,United States Virgin Islands,1769.215
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,1241.565
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,50.553
205,2020Q1,Oceania,French Polynesia,1175.3509999999999
206,2020Q1,Oceania,Guam,2602.119
207,2020Q1,Oceania,Kiribati,0.0
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,417.301
212,2020Q1,Oceania,New Zealand,648.9490000000001
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,80.688
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,1.089
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,0.0
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,0.0
