,date,continent,location,total_deaths_per_million
173,2020Q1,North America,Curacao,52.31
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,12.556000000000001
176,2020Q1,North America,El Salvador,0.0
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,25.269
180,2020Q1,North America,Guatemala,0.784
181,2020Q1,North America,Haiti,0.0
182,2020Q1,North America,Honduras,0.672
183,2020Q1,North America,Jamaica,4.247999999999999
184,2020Q1,North America,Martinique,21.768
185,2020Q1,North America,Mexico,1.506
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.576
188,2020Q1,North America,Panama,22.911
189,2020Q1,North America,Puerto Rico,36.587
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),31.431
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,7.183
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,45.885
200,2020Q1,North America,United States Virgin Islands,0.0
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,8.824
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,0.0
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,52.388999999999996
207,2020Q1,Oceania,Kiribati,0.0
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,0.579
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,0.0
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,0.0
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,0.0
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,14.549
226,2020Q1,South America,Bolivia,0.409
227,2020Q1,South America,Brazil,2.844
228,2020Q1,South America,Chile,1.887
229,2020Q1,South America,Colombia,0.831
230,2020Q1,South America,Ecuador,18.221
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,23.503
234,2020Q1,South America,Paraguay,3.388
235,2020Q1,South America,Peru,18.238
236,2020Q1,South America,Suriname,0.0
237,2020Q1,South America,Uruguay,0.0
238,2020Q1,South America,Venezuela,0.248
239,2020Q2,Africa,Algeria,1078.767
240,2020Q2,Africa,Angola,6.821000000000001
241,2020Q2,Africa,Benin,26.0
242,2020Q2,Africa,Botswana,34.58
243,2020Q2,Africa,Burkina Faso,177.09300000000002
244,2020Q2,Africa,Burundi,6.162
245,2020Q2,Africa,Cameroon,471.797
246,2020Q2,Africa,Cape Verde,480.482
247,2020Q2,Africa,Central African Republic,101.087
248,2020Q2,Africa,Chad,210.169
249,2020Q2,Africa,Comoros,172.08
250,2020Q2,Africa,Congo,229.951
251,2020Q2,Africa,Cote d'Ivoire,87.676
252,2020Q2,Africa,Democratic Republic of Congo,201.011
253,2020Q2,Africa,Djibouti,1285.63
254,2020Q2,Africa,Egypt,697.504
255,2020Q2,Africa,Equatorial Guinea,628.694
256,2020Q2,Africa,Eritrea,0.0
257,2020Q2,Africa,Eswatini,175.583
258,2020Q2,Africa,Ethiopia,26.92
259,2020Q2,Africa,Gabon,535.793
260,2020Q2,Africa,Gambia,0.0
261,2020Q2,Africa,Ghana,0.0
262,2020Q2,Africa,Guinea,96.399
263,2020Q2,Africa,Guinea-Bissau,279.737
264,2020Q2,Africa,Kenya,86.647
265,2020Q2,Africa,Lesotho,0.0
266,2020Q2,Africa,Liberia,384.534
267,2020Q2,Africa,Libya,59.741
268,2020Q2,Africa,Madagascar,13.681000000000001
269,2020Q2,Africa,Malawi,17.836
270,2020Q2,Africa,Mali,215.322
271,2020Q2,Africa,Mauritania,3401.914
272,2020Q2,Africa,Mauritius,660.245
273,2020Q2,Africa,Mayotte,4305.264
274,2020Q2,Africa,Morocco,419.859
275,2020Q2,Africa,Mozambique,3.282
276,2020Q2,Africa,Namibia,0.0
277,2020Q2,Africa,Niger,257.629
278,2020Q2,Africa,Nigeria,86.224
279,2020Q2,Africa,Reunion,48.263
280,2020Q2,Africa,Rwanda,4.279
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,2854.098
283,2020Q2,Africa,Senegal,0.0
284,2020Q2,Africa,Seychelles,0.0
285,2020Q2,Africa,Sierra Leone,287.475
286,2020Q2,Africa,Somalia,251.904
287,2020Q2,Africa,South Africa,1545.0819999999999
288,2020Q2,Africa,South Sudan,93.648
289,2020Q2,Africa,Sudan,365.599
290,2020Q2,Africa,Tanzania,21.641000000000002
291,2020Q2,Africa,Togo,98.197
292,2020Q2,Africa,Tunisia,306.9
293,2020Q2,Africa,Uganda,0.0
294,2020Q2,Africa,Zambia,37.241
295,2020Q2,Africa,Zimbabwe,44.112
296,2020Q2,Asia,Afghanistan,480.175
297,2020Q2,Asia,Armenia,4056.149
298,2020Q2,Asia,Azerbaijan,500.381
299,2020Q2,Asia,Bahrain,1290.558
